"","X","Name","Location","Cuisine","Longitude","Latitude","Award","Explanation","Min Price","Max Price","Country"
"33",3679,"Bangera's Kitchen","Tokyo","Indian",139.764968,35.674776,"Bib Gourmand","Good food at moderate prices",10,40,"Japan"
"34",3682,"Bistro Beppinsha","Tokyo","Curry",139.761294,35.695898,"Bib Gourmand","Good food at moderate prices",10,25,"Japan"
"35",3913,"Udonbo Osaka Honten","Osaka","Udon",135.499498,34.699041,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"36",3915,"Shitennoji Hayauchi","Osaka","Soba",135.514148,34.655576,"Bib Gourmand","Good food at moderate prices",10,25,"Japan"
"37",3918,"Aozora blue","Osaka","Udon",135.498398,34.687813,"Bib Gourmand","Good food at moderate prices",10,40,"Japan"
"38",3920,"Naniwa Okina","Osaka","Soba",135.5059327,34.6962771,"Bib Gourmand","Good food at moderate prices",10,25,"Japan"
"39",3921,"BOTANI:CURRY","Osaka","Curry",135.49893,34.686392,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"40",3922,"Watanabe Curry Honten","Osaka","Curry",135.494822,34.698007,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"41",3923,"Az","Osaka","Chinese",135.504722,34.697484,"Bib Gourmand","Good food at moderate prices",10,70,"Japan"
"42",3931,"Kansaidaki Honke Joyato","Osaka","Oden",135.50094,34.7111765,"Bib Gourmand","Good food at moderate prices",10,40,"Japan"
"43",3934,"Macauda","Osaka","Italian",135.514358,34.68241,"Bib Gourmand","Good food at moderate prices",10,50,"Japan"
"44",3940,"GANESH N","Osaka","Curry",135.5125217,34.6940883,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"45",3941,"Sobadokoro Toki","Osaka","Soba",135.4981262,34.6963082,"Bib Gourmand","Good food at moderate prices",10,40,"Japan"
"46",3944,"Kyoudon Kisoba Okakita","Kyoto","Udon",135.7848035,35.0143387,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"47",3947,"SPICE CHAMBER","Kyoto","Curry",135.758075,35.002346,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"48",3953,"Tonkatsu Ichiban","Kyoto","Tonkatsu",135.750047,34.988242,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"49",3954,"Zingrock","Kyoto","Soba",135.761141,35.050969,"Bib Gourmand","Good food at moderate prices",10,20,"Japan"
"50",3958,"Soba Rojina","Kyoto","Soba",135.7668048,35.0150136,"Bib Gourmand","Good food at moderate prices",10,35,"Japan"
"51",3962,"Yamamotomenzo","Kyoto","Udon",135.7848102,35.014287,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"52",3970,"PIZZERIA DA NAGHINO","Kyoto","Pizza",135.777211,35.009406,"Bib Gourmand","Good food at moderate prices",10,15,"Japan"
"53",5251,"Mimo","São Paulo","Modern Cuisine",-46.6582013,-23.5745724,"Bib Gourmand","Good food at moderate prices",10,45,"Brazil"
"54",3311,"Putien (Causeway Bay)","Hong Kong","Fujian",114.18335,22.278337,"Bib Gourmand","Good food at moderate prices",10,40,"Hong Kong"
"55",5232,"Petí Panamericana","São Paulo","Modern Cuisine",-46.665974,-23.581272,"Bib Gourmand","Good food at moderate prices",10,10,"Brazil"
"56",5242,"Petí Gastronomia","São Paulo","Modern Cuisine",-46.68242,-23.5283406,"Bib Gourmand","Good food at moderate prices",10,10,"Brazil"
"57",3313,"Sang Kee","Hong Kong","Cantonese",114.1723363,22.2776503,"Bib Gourmand","Good food at moderate prices",10,65,"Hong Kong"
"58",3307,"Ho To Tai (Yuen Long)","Hong Kong","Noodles",114.02933,22.44383,"Bib Gourmand","Good food at moderate prices",10,10,"Hong Kong"
"59",5243,"Fitó","São Paulo","Brazilian",-46.694927,-23.568077,"Bib Gourmand","Good food at moderate prices",10,25,"Brazil"
"60",5231,"Miam Miam","Rio de Janeiro","Modern Cuisine",-43.1800341,-22.9558572,"Bib Gourmand","Good food at moderate prices",10,30,"Brazil"
"61",5247,"Didier","Rio de Janeiro","French Contemporary",-43.206113,-22.9619176,"Bib Gourmand","Good food at moderate prices",10,50,"Brazil"
"62",5257,"Zazie","Cracow","French",19.9469489,50.0512398,"Bib Gourmand","Good food at moderate prices",10,20,"Poland"
"63",5244,"Komah","São Paulo","Korean",-46.651875,-23.52668,"Bib Gourmand","Good food at moderate prices",10,35,"Brazil"
"64",3300,"Megan's Kitchen","Hong Kong","Cantonese",114.1770548,22.2768945,"Bib Gourmand","Good food at moderate prices",10,50,"Hong Kong"
"65",5228,"TonTon","São Paulo","International",-46.6583618,-23.57449,"Bib Gourmand","Good food at moderate prices",10,30,"Brazil"
"66",5245,"Piccolo","São Paulo","Italian",-46.680794,-23.564728,"Bib Gourmand","Good food at moderate prices",10,50,"Brazil"
"67",4154,"Hjh Maimunah (Jalan Pisang)","Singapore","Malaysian",103.8585873,1.3032086,"Bib Gourmand","Good food at moderate prices",10,10,"Singapore"
"68",4161,"Zaffron Kitchen (East Coast)","Singapore","Indian",103.9051463,1.3061978,"Bib Gourmand","Good food at moderate prices",10,60,"Singapore"
"69",3302,"Sing Kee (Central)","Hong Kong","Cantonese",114.15475,22.2826018,"Bib Gourmand","Good food at moderate prices",10,50,"Hong Kong"
"70",3349,"Casa Chef Victor Felisberto","Abrantes","Contemporary",-8.1764899,39.4768532,"Bib Gourmand","Good food at moderate prices",10,45,"Portugal"
"71",3360,"Pedra Furada","Pedra Furada","Regional Cuisine",-8.6334736,41.4732576,"Bib Gourmand","Good food at moderate prices",10,45,"Portugal"
"72",3383,"Granero","Quintanar de la Orden","Traditional Cuisine",-3.0474651,39.5966829,"Bib Gourmand","Good food at moderate prices",10,55,"Spain"
"73",4022,"The Bywater","Los Gatos","Southern, Creole",-121.979004,37.232773,"Bib Gourmand","Good food at moderate prices",10,45,"United States"
"74",4200,"RaaSa","Elmsford","Indian, Regional Cuisine",-73.8127924,41.0514548,"Bib Gourmand","Good food at moderate prices",10,50,"United States"
"75",3591,"L'ottocento","Tokyo","Italian",139.7811836,35.6825549,"Bib Gourmand","Good food at moderate prices",15,50,"Japan"
"76",3604,"anikò","Tokyo","Italian",139.735752,35.670773,"Bib Gourmand","Good food at moderate prices",15,70,"Japan"
"77",3605,"Mejiro Shunkotei","Tokyo","Yoshoku",139.7073618,35.7215164,"Bib Gourmand","Good food at moderate prices",15,75,"Japan"
"78",3615,"Soba Tajima","Tokyo","Soba",139.7261523,35.6547367,"Bib Gourmand","Good food at moderate prices",15,50,"Japan"
"79",3616,"Yoshoku Wine Fritts","Tokyo","Yoshoku",139.7511776,35.7122868,"Bib Gourmand","Good food at moderate prices",15,50,"Japan"
"80",3617,"Nemurian","Tokyo","Soba",139.7707601,35.6953245,"Bib Gourmand","Good food at moderate prices",15,25,"Japan"
"81",3621,"Tonkatsu Hasegawa","Tokyo","Tonkatsu",139.7939736,35.6950224,"Bib Gourmand","Good food at moderate prices",15,35,"Japan"
"82",3637,"Sennomago","Tokyo","Chinese",139.5958052,35.7064078,"Bib Gourmand","Good food at moderate prices",15,60,"Japan"
"83",3643,"SPiCE Cafe","Tokyo","Curry",139.820078,35.709802,"Bib Gourmand","Good food at moderate prices",15,45,"Japan"
"84",3656,"Teuchisobadokoro Shisen-an","Tokyo","Soba",139.70121,35.627101,"Bib Gourmand","Good food at moderate prices",15,70,"Japan"
"85",3657,"Ponchiken","Tokyo","Tonkatsu",139.7639651,35.6949117,"Bib Gourmand","Good food at moderate prices",15,35,"Japan"
"86",3661,"you-en","Tokyo","Chinese",139.722594,35.689246,"Bib Gourmand","Good food at moderate prices",15,70,"Japan"
"87",3677,"Mochibuta Tonkatsu Taiyo","Tokyo","Tonkatsu",139.7064277,35.6187961,"Bib Gourmand","Good food at moderate prices",15,25,"Japan"
"88",3917,"Nagomizake Jin","Osaka","Japanese",135.498279,34.6968357,"Bib Gourmand","Good food at moderate prices",15,75,"Japan"
"89",3926,"il luogo di TAKEUCHI","Osaka","Italian",135.4900722,34.6970053,"Bib Gourmand","Good food at moderate prices",15,70,"Japan"
"90",3928,"Okonomiyaki Mizuno","Osaka","Okonomiyaki",135.503208,34.668359,"Bib Gourmand","Good food at moderate prices",15,25,"Japan"
"91",3939,"TAVERNETTA da KITAYAMA","Osaka","Italian",135.4988185,34.6797128,"Bib Gourmand","Good food at moderate prices",15,60,"Japan"
"92",3942,"gastroteka bimendi","Osaka","Spanish",135.4975863,34.6845625,"Bib Gourmand","Good food at moderate prices",15,40,"Japan"
"93",3952,"Itsutsu","Kyoto","Soba",135.747584,35.040881,"Bib Gourmand","Good food at moderate prices",15,35,"Japan"
"94",3957,"Hakuraku Kajosai","Kyoto","Chinese",135.729757,35.026251,"Bib Gourmand","Good food at moderate prices",15,70,"Japan"
"95",3963,"La Petite Scène","Kyoto","French",135.7790301,35.010942,"Bib Gourmand","Good food at moderate prices",15,50,"Japan"
"96",3972,"Madam Koran","Kyoto","Chinese",135.7674903,35.0175531,"Bib Gourmand","Good food at moderate prices",15,75,"Japan"
"97",3976,"Tateya","Kyoto","Japanese",135.754404,34.999108,"Bib Gourmand","Good food at moderate prices",15,60,"Japan"
"98",3299,"Tim Ho Wan (North Point)","Hong Kong","Dim Sum",114.1952457,22.2914128,"Bib Gourmand","Good food at moderate prices",15,15,"Hong Kong"
"99",3308,"Mak Man Kee","Hong Kong","Noodles",114.1705644,22.3046799,"Bib Gourmand","Good food at moderate prices",15,15,"Hong Kong"
"100",3316,"Tim Ho Wan (Sham Shui Po)","Hong Kong","Dim Sum",114.1663677,22.3291186,"Bib Gourmand","Good food at moderate prices",15,15,"Hong Kong"
"101",4369,"Ellē","Washington","Contemporary, Bakery",-77.03842,38.93187,"Bib Gourmand","Good food at moderate prices",15,85,"United States"
"102",3457,"El Racó","Sant Climent de Llobregat","Catalan, Traditional Cuisine",1.9961897,41.3371924,"Bib Gourmand","Good food at moderate prices",15,45,"Spain"
"103",3556,"Casa Pedro","Puente-Genil","Traditional Cuisine",-4.7684271,37.3917089,"Bib Gourmand","Good food at moderate prices",15,45,"Spain"
"104",5234,"Più","São Paulo","Italian",-46.6981492,-23.5602209,"Bib Gourmand","Good food at moderate prices",15,35,"Brazil"
"105",5253,"Più Iguatemi","São Paulo","Italian, Creative",-46.6883149,-23.5771056,"Bib Gourmand","Good food at moderate prices",15,35,"Brazil"
"106",4158,"Anglo Indian (Shenton Way)","Singapore","Indian",103.85043,1.279361,"Bib Gourmand","Good food at moderate prices",15,50,"Singapore"
"107",3800,"Locanda Cacciatori","Ponte dell'Olio","Emilian",9.661281,44.8567768,"Bib Gourmand","Good food at moderate prices",15,55,"Italy"
"108",3832,"Trita Pepe","Manoppello Scalo","Regional Cuisine",14.054071,42.30439,"Bib Gourmand","Good food at moderate prices",15,40,"Italy"
"109",3873,"Il Sogno","Vetrego","Venetian, Regional Cuisine",12.0995204,45.4663112,"Bib Gourmand","Good food at moderate prices",15,55,"Italy"
"110",5168,"Saint Boniface","Ixelles","Cuisine from South West France, Country cooking",4.3647629,50.8359208,"Bib Gourmand","Good food at moderate prices",15,65,"Belgium"
"111",4072,"The Factory Kitchen","Los Angeles","Italian, Regional Cuisine",-118.23589,34.03912,"Bib Gourmand","Good food at moderate prices",15,45,"United States"
"112",4204,"Pierozek","New York","Polish, Dumplings",-73.9504293,40.7234369,"Bib Gourmand","Good food at moderate prices",15,30,"United States"
"113",3388,"Carmen","Binéfar","Seasonal Cuisine, Market Cuisine",0.2928459,41.8515864,"Bib Gourmand","Good food at moderate prices",15,60,"Spain"
"114",3506,"Mamá Peixe","Santiago de Compostela","Traditional Cuisine",-8.5422486,42.8826782,"Bib Gourmand","Good food at moderate prices",15,55,"Spain"
"115",3797,"Del Turista - Da Marchesi","Novafeltria","Country cooking",12.2584081,43.8990174,"Bib Gourmand","Good food at moderate prices",15,50,"Italy"
"116",5165,"Terminus","Watou","Classic French, Country cooking",2.6387985,50.8132336,"Bib Gourmand","Good food at moderate prices",15,120,"Belgium"
"117",2858,"Kinoshita","São Paulo","Japanese",-46.6712582,-23.5918083,"1 MICHELIN Star","Very good cooking in its category",15,75,"Brazil"
"118",3909,"Dejvická 34 by Tomáš Černý","Prague","Italian",14.3992062,50.0987928,"Bib Gourmand","Good food at moderate prices",15,40,"Czech Republic"
"119",4076,"Maccheroni Republic","Los Angeles","Italian, Italian-American",-118.248726,34.050137,"Bib Gourmand","Good food at moderate prices",15,45,"United States"
"120",5248,"Artigiano","Rio de Janeiro","Italian",-43.2145699,-22.9841868,"Bib Gourmand","Good food at moderate prices",15,55,"Brazil"
"121",1931,"essência","Budapest","Hungarian, Portuguese",19.0521322,47.5010955,"1 MICHELIN Star","Very good cooking in its category",15,125,"Hungary"
"122",1695,"Piano 35","Turin","Modern Cuisine, Regional Cuisine",7.663038,45.06945,"1 MICHELIN Star","Very good cooking in its category",15,140,"Italy"
"123",3364,"Saraiva's","Lisbon","International",-9.1524495,38.7318067,"Bib Gourmand","Good food at moderate prices",15,40,"Portugal"
"124",3443,"Lamadrid","Colmenar Viejo","Traditional Cuisine, Regional Cuisine",-3.7782067,40.6469059,"Bib Gourmand","Good food at moderate prices",15,50,"Spain"
"125",3532,"Hostal Jaumet","Torà","Regional Cuisine",1.4029806,41.8097276,"Bib Gourmand","Good food at moderate prices",15,45,"Spain"
"126",3546,"Treze","Madrid","Seasonal Cuisine",-3.6784386,40.4267883,"Bib Gourmand","Good food at moderate prices",15,75,"Spain"
"127",3756,"La Gioconda","Cagli","Cuisine from the Marches",12.647552,43.546066,"Bib Gourmand","Good food at moderate prices",15,60,"Italy"
"128",3870,"La Cucina dei Frigoriferi Milanesi","Milan","Modern Cuisine",9.2247847,45.4605965,"Bib Gourmand","Good food at moderate prices",15,45,"Italy"
"129",5116,"Gaston Vouzote","Dottignies","Classic Cuisine",3.3137961,50.7291086,"Bib Gourmand","Good food at moderate prices",15,70,"Belgium"
"130",3312,"Samsen (Wan Chai)","Hong Kong","Thai",114.1741767,22.2741218,"Bib Gourmand","Good food at moderate prices",15,50,"Hong Kong"
"131",1371,"Akanezaka Onuma","Tokyo","Japanese",139.737891,35.674046,"1 MICHELIN Star","Very good cooking in its category",15,160,"Japan"
"132",3586,"L'INSIEME","Tokyo","Pizza",139.8257129,35.6947085,"Bib Gourmand","Good food at moderate prices",15,40,"Japan"
"133",3594,"TRATTORIA BUCA'MASSIMO","Tokyo","Italian",139.7985074,35.6703279,"Bib Gourmand","Good food at moderate prices",15,50,"Japan"
"134",3618,"Katsuyoshi","Tokyo","Tonkatsu",139.781217,35.686215,"Bib Gourmand","Good food at moderate prices",15,65,"Japan"
"135",3630,"Edosoba Hosokawa","Tokyo","Soba",139.798036,35.696701,"Bib Gourmand","Good food at moderate prices",15,35,"Japan"
"136",3667,"Sushi Yoshino","Tokyo","Sushi",139.6791992,35.697524,"Bib Gourmand","Good food at moderate prices",15,70,"Japan"
"137",3678,"AMANOYA","Tokyo","Okonomiyaki",139.73635,35.653271,"Bib Gourmand","Good food at moderate prices",15,35,"Japan"
"138",3924,"Tempei Kitashinchi Honten","Osaka","Dumplings",135.500032,34.6974897,"Bib Gourmand","Good food at moderate prices",15,25,"Japan"
"139",3929,"Hortensia Bistro","Osaka","French",135.497213,34.740277,"Bib Gourmand","Good food at moderate prices",15,70,"Japan"
"140",3951,"Pizzeria Napoletana Da Yuki","Kyoto","Pizza",135.7806341,35.0117488,"Bib Gourmand","Good food at moderate prices",15,40,"Japan"
"141",3959,"Cantina Rossi","Kyoto","Italian",135.775851,35.02751,"Bib Gourmand","Good food at moderate prices",15,40,"Japan"
"142",3961,"Shichiku Kiko","Kyoto","Japanese",135.748209,35.052722,"Bib Gourmand","Good food at moderate prices",15,75,"Japan"
"143",3965,"Shibosai Sumiyoshi","Kyoto","Chinese",135.774741,34.992402,"Bib Gourmand","Good food at moderate prices",15,70,"Japan"
"144",3345,"Machado","Nogueira","Traditional Cuisine",-8.5912502,41.2404799,"Bib Gourmand","Good food at moderate prices",20,30,"Portugal"
"145",3391,"Trasmallo","A Guarda","Seafood",-8.8760099,41.8979403,"Bib Gourmand","Good food at moderate prices",20,60,"Spain"
"146",3402,"Las Musas","Campo de Criptana","Regional Cuisine",-3.1235193,39.4090257,"Bib Gourmand","Good food at moderate prices",20,70,"Spain"
"147",3408,"Erre que Erre","Ibi","Seasonal Cuisine, Contemporary",-0.5723964,38.627707,"Bib Gourmand","Good food at moderate prices",20,50,"Spain"
"148",3428,"Somiatruites","Igualada","Contemporary",1.614032,41.57798,"Bib Gourmand","Good food at moderate prices",20,40,"Spain"
"149",3442,"Pau","Benicarló","Rice Dishes, Traditional Cuisine",0.4338135,40.4164901,"Bib Gourmand","Good food at moderate prices",20,45,"Spain"
"150",3465,"La Finca - Villa Xarahiz","Jaraíz de la Vera","Regional Cuisine",-5.753258,40.0666884,"Bib Gourmand","Good food at moderate prices",20,55,"Spain"
"151",3469,"Cal Travé","Solivella","Catalan, Grills",1.1786472,41.4554958,"Bib Gourmand","Good food at moderate prices",20,65,"Spain"
"152",3474,"El Maño","Navaleno","Traditional Cuisine",-3.0035798,41.8373159,"Bib Gourmand","Good food at moderate prices",20,45,"Spain"
"153",3505,"Café de Altamira","Santiago de Compostela","Traditional Cuisine",-8.5414465,42.8804902,"Bib Gourmand","Good food at moderate prices",20,45,"Spain"
"154",3543,"Garelos","Madrid","Galician",-3.6930868,40.4288116,"Bib Gourmand","Good food at moderate prices",20,55,"Spain"
"155",3698,"Venanzio","Colonnata","Tuscan, Regional Cuisine",10.1559268,44.0861489,"Bib Gourmand","Good food at moderate prices",20,70,"Italy"
"156",3723,"Antica Trattoria Gianna","Recorfano","Regional Cuisine, Lombardian",10.3448888,45.1033105,"Bib Gourmand","Good food at moderate prices",20,40,"Italy"
"157",3725,"La Locanda del Falco","Valdieri","Piedmontese",7.3974799,44.277054,"Bib Gourmand","Good food at moderate prices",20,55,"Italy"
"158",3791,"Baracca - Storica Hostaria","Trebaseleghe","Regional Cuisine",12.04119,45.59254,"Bib Gourmand","Good food at moderate prices",20,70,"Italy"
"159",3803,"Castagneto","Montrigiasco","Regional Cuisine, Piedmontese",8.5095252,45.7723788,"Bib Gourmand","Good food at moderate prices",20,55,"Italy"
"160",3807,"Italia","Quarona","Regional Cuisine, Piedmontese",8.270105,45.761494,"Bib Gourmand","Good food at moderate prices",20,65,"Italy"
"161",3809,"Il Normanno","Mileto","Calabrian",16.0672152,38.6075071,"Bib Gourmand","Good food at moderate prices",20,40,"Italy"
"162",3837,"Due Mari","Tiriolo","Regional Cuisine",16.5075033,38.9489777,"Bib Gourmand","Good food at moderate prices",20,35,"Italy"
"163",3868,"Da Giannino - L'Angolo d'Abruzzo","Milan","Cuisine from Abruzzo, Regional Cuisine",9.21326,45.47267,"Bib Gourmand","Good food at moderate prices",20,50,"Italy"
"164",3872,"Le Nove Scodelle","Milan","Chinese, Sichuan",9.2171657,45.4873742,"Bib Gourmand","Good food at moderate prices",20,55,"Italy"
"165",3885,"Prati Rione Gastronomico","Rome","Regional Cuisine, Italian",12.4641209,41.9155928,"Bib Gourmand","Good food at moderate prices",20,60,"Italy"
"166",3898,"Scannabue Caffè Restaurant","Turin","Country cooking",7.6789861,45.0583351,"Bib Gourmand","Good food at moderate prices",20,55,"Italy"
"167",4435,"Umami by Han","Maastricht","Asian, Asian Contemporary",5.7041216,50.84976,"Bib Gourmand","Good food at moderate prices",20,55,"Netherlands"
"168",4821,"L'Auberge du Pas de Vent","Pouillon","Traditional Cuisine",-1.0052604,43.6014023,"Bib Gourmand","Good food at moderate prices",20,65,"France"
"169",5126,"La Brasserie de la Gare","Berchem-Sainte-Agathe","Belgian, Classic Cuisine",4.2896264,50.8722727,"Bib Gourmand","Good food at moderate prices",20,70,"Belgium"
"170",5138,"Car Bon","Ixelles","Chinese, Sichuan",4.3617161,50.8192817,"Bib Gourmand","Good food at moderate prices",20,45,"Belgium"
"171",3980,"Coni'Seafood","Inglewood","Mexican",-118.33494,33.930923,"Bib Gourmand","Good food at moderate prices",20,60,"United States"
"172",4258,"Cho Dang Gol","New York","Korean",-73.98616,40.7502,"Bib Gourmand","Good food at moderate prices",20,50,"United States"
"173",4148,"Izakaya by Time","Zagreb","Japanese Contemporary",15.942948,45.8047118,"Bib Gourmand","Good food at moderate prices",20,35,"Croatia"
"174",4151,"Song Fa Bak Kut Teh (New Bridge Road)","Singapore","Singaporean",103.8477147,1.2890223,"Bib Gourmand","Good food at moderate prices",20,20,"Singapore"
"175",3581,"Iva New Balkan Cuisine","Belgrade","Modern Cuisine",20.4610962,44.8197396,"Bib Gourmand","Good food at moderate prices",20,20,"Serbia"
"176",3350,"Xtoria","Setúbal","Contemporary",-8.9010617,38.52043,"Bib Gourmand","Good food at moderate prices",20,40,"Portugal"
"177",3368,"Deli","Montellano","Traditional Cuisine",-5.5734199,36.9951721,"Bib Gourmand","Good food at moderate prices",20,60,"Spain"
"178",3419,"Antoni Rubies","Artesa de Lleida","Rice Dishes",0.7052084,41.553394,"Bib Gourmand","Good food at moderate prices",20,50,"Spain"
"179",3446,"Can Boix","Vilamarí","Regional Cuisine",2.8515835,42.111504,"Bib Gourmand","Good food at moderate prices",20,85,"Spain"
"180",3481,"Meseguer","Alcañiz","Traditional Cuisine",-0.1296698,41.0438007,"Bib Gourmand","Good food at moderate prices",20,60,"Spain"
"181",3488,"Es Terral","Santa Eulalia del Río","French",1.5346632,38.9856209,"Bib Gourmand","Good food at moderate prices",20,55,"Spain"
"182",3828,"Trippi","Sondrio","Cuisine from Valtellina, Regional Cuisine",9.901579,46.1699887,"Bib Gourmand","Good food at moderate prices",20,60,"Italy"
"183",4720,"Fleur de Sel","Saint-Georges-sur-Cher","Modern Cuisine",1.1249775,47.3258479,"Bib Gourmand","Good food at moderate prices",20,40,"France"
"184",5025,"Hostellerie du Prieuré","Saint-Quirin","Traditional Cuisine, Country cooking",7.0645394,48.6099687,"Bib Gourmand","Good food at moderate prices",20,105,"France"
"185",5084,"Bonifas","Nospelt","Modern Cuisine",6.0083697,49.6735533,"Bib Gourmand","Good food at moderate prices",20,90,"Luxembourg"
"186",5202,"Noï","Linkebeek","Thai",4.3366565,50.7731058,"Bib Gourmand","Good food at moderate prices",20,75,"Belgium"
"187",4209,"Nami Nori","New York","Japanese, Creative",-74.003079,40.7302491,"Bib Gourmand","Good food at moderate prices",20,40,"United States"
"188",4121,"Smalhans","Oslo","Norwegian, Contemporary",10.7397842,59.9237243,"Bib Gourmand","Good food at moderate prices",20,75,"Norway"
"189",3336,"Bangkok Bold Kitchen (Central Embassy)","Bangkok","Thai",100.5472176,13.7438012,"Bib Gourmand","Good food at moderate prices",20,20,"Thailand"
"190",3684,"A Flower Blossom on the Rice","SEOUL","Korean",126.98404,37.57535,"Bib Gourmand","Good food at moderate prices",20,30,"South Korea"
"191",4061,"La Azteca","Los Angeles","Mexican",-118.1683741,34.0404163,"Bib Gourmand","Good food at moderate prices",20,20,"United States"
